,0,1,2,3,4,5
0,['2013'],"["" L'Attaque des Titans ""]","[[' Yuki Kaji ', ' Yui Ishikawa ', ' Marina Inoue ', ' Kisho Taniyama ', ' Hiro Shimono ', ' Yoshimasa Hosoya ', ' Takehito Koyasu ', ' Ayane Sakura ', ' Natsuki Hanae ']]","[['Action & Aventure ', 'Science-Fiction ', 'Animation ', 'Drame ', 'Fantastique ', 'Horreur ']]",['https://images.justwatch.com/poster/245159374/s718/attack-on-titan'],[' 9.0 (325k) ']
1,['1999'],[' One Piece '],"[[' Mayumi Tanaka ', ' Kazuya Nakai ', ' Akemi Okamura ', ' Kappei Yamaguchi ', ' Hiroaki Hirata ', ' Yuriko Yamaguchi ', ' Ikue Otani ', ' Kazuki Yao ', ' Cho ', ' Katsuhisa Houki ', ' Tessyo Genda ']]","[['Action & Aventure ', 'Animation ', 'Comédie ', 'Science-Fiction ', 'Drame ', 'Fantastique ']]",['https://images.justwatch.com/poster/86338150/s718/one-piece'],[' 8.9 (125k) ']
2,['2019'],[' Demon Slayer : Kimetsu no Yaiba '],"[[' Natsuki Hanae ', ' Akari Kito ', ' Hiro Shimono ', ' Yoshitsugu Matsuoka ', ' Katsuyuki Konishi ', ' Miyuki Sawashiro ']]","[['Science-Fiction ', 'Action & Aventure ', 'Animation ', 'Fantastique ', 'Mystère & Thriller ', 'Horreur ']]",['https://images.justwatch.com/poster/258546507/s718/demon-slayer-kimetsu-no-yaiba'],[' 8.7 (102k) ']
3,['2022'],"["" I'm Quitting Heroing ""]","[[' Kensho Ono ', ' Kaede Hondo ', ' Shizuka Itoh ', ' Hitomi Ohwada ', ' Yumi Uchiyama ', ' Tetsu Inada ', ' Minori Suzuki ', ' Misato Matsuoka ']]","[['Animation ', 'Science-Fiction ', 'Action & Aventure ', 'Comédie ', 'Fantastique ']]",['https://images.justwatch.com/poster/270029807/s718/im-quitting-heroing'],[' 6.7 ']
4,['2006'],[' DEATH NOTE '],"[[' Mamoru Miyano ', ' Noriko Hidaka ', ' Nozomu Sasaki ']]","[['Science-Fiction ', 'Fantastique ', 'Mystère & Thriller ', 'Animation ', 'Crime & Thriller ', 'Drame ']]",['https://images.justwatch.com/poster/166016813/s718/death-note'],[' 9.0 (322k) ']
5,['2012'],[' Black Rock Shooter '],"[[' Yui Ishikawa ', ' Saori Hayami ', ' Megumi Han ', ' Takuya Kirimoto ', ' Ayaka Asai ', ' Misaki Kuno ', ' Tomokazu Sugita ', ' Akane Tomonaga ', ' Saya Horigome ', ' Asuka Itou ']]","[['Action & Aventure ', 'Science-Fiction ', 'Animation ', 'Drame ', 'Fantastique ']]",['https://images.justwatch.com/poster/189555108/s718/black-rock-shooter'],[' 6.3 ']
6,['1996'],[' Détective Conan '],"[[' Minami Takayama ', ' Kappei Yamaguchi ', ' Wakana Yamazaki ', ' Akira Kamiya ', ' Rikiya Koyama ', ' Megumi Hayashibara ', ' Kenichi Ogata ', ' Yukiko Iwai ', ' Wataru Takagi ', ' Ikue Otani ', ' Chafurin ']]","[['Animation ', 'Comédie ', 'Mystère & Thriller ', 'Drame ', 'Science-Fiction ', 'Action & Aventure ', 'Comédie Romantique ', 'Crime & Thriller ']]",['https://images.justwatch.com/poster/245250773/s718/detective-conan'],[' 8.5 (13k) ']
7,['2002'],[' Naruto '],"[[' Junko Takeuchi ', ' Noriaki Sugiyama ', ' Chie Nakamura ', ' Kazuhiko Inoue ', ' Hidekatsu Shibata ', ' Koichi Tochika ', ' Masashi Ebara ', ' Yōichi Masukawa ', ' Yukari Tamura ', ' Ryoka Yuzuki ', ' Showtaro Morikubo ', ' Kentaro Ito ', ' Shinji Kawada ', ' Nana Mizuki ', ' Kohsuke Toriumi ', ' Hideo Ishikawa ', ' Tomoyuki Dan ', ' Akira Ishida ', ' Toshihiko Seki ', ' Nobutoshi Canna ', ' Kujira ', ' Hochu Otsuka ', ' Keiko Nemoto ', ' Rumi Rakugou ', ' Kouyori Katase ', ' Romi Park ', ' Jurota Kosugi ', ' Masako Katsuki ']]","[['Action & Aventure ', 'Science-Fiction ', 'Comédie ', 'Animation ', 'Mystère & Thriller ', 'Fantastique ']]",['https://images.justwatch.com/poster/300655091/s718/naruto'],[' 8.4 (102k) ']
8,['2015'],[' Anti-Magic Academy : The 35th Test Platoon '],"[[' Reina Ueda ', ' Ryoko Shiraishi ', ' Rumi Okubo ', ' Yoshimasa Hosoya ', ' Iori Nomizu ', ' Kanae Ito ', ' Akane Kohinata ', ' Chika Anzai ', ' Jouji Nakata ', ' Kenjiro Tsuda ', ' Koji Yusa ', ' Natsumi Yamada ', ' Shin-ichiro Miki ']]","[['Animation ', 'Action & Aventure ', 'Fantastique ', 'Comédie ', 'Drame ']]",['https://images.justwatch.com/poster/184336228/s718/anti-magic-academy-the-35th-test-platoon'],[' 6.4 ']
9,['2017'],[' Boruto : Naruto Next Generations '],"[[' Yuko Sanpei ', ' Kokoro Kikuchi ', ' Ryuichi Kijima ', ' Ryoko Shiraishi ', ' Shinji Kawada ', ' Eterno ']]","[['Animation ', 'Action & Aventure ', 'Drame ', 'Fantastique ', 'Comédie ']]",['https://images.justwatch.com/poster/258650876/s718/boruto-naruto-next-generations'],[' 6.7 (21k) ']
