,0,1,2,3,4,5
0,['2013'],"["" L'Attaque des Titans ""]","[[' Yuki Kaji ', ' Yui Ishikawa ', ' Marina Inoue ', ' Kisho Taniyama ', ' Hiro Shimono ', ' Yoshimasa Hosoya ', ' Takehito Koyasu ', ' Ayane Sakura ', ' Natsuki Hanae ']]","[['Action & Aventure ', 'Science-Fiction ', 'Animation ', 'Drame ', 'Fantastique ', 'Horreur ']]",['https://images.justwatch.com/poster/245159374/s718/attack-on-titan'],[' 9.0 (325k) ']
1,['2019'],[' Demon Slayer : Kimetsu no Yaiba '],"[[' Natsuki Hanae ', ' Akari Kito ', ' Hiro Shimono ', ' Yoshitsugu Matsuoka ', ' Katsuyuki Konishi ', ' Miyuki Sawashiro ']]","[['Science-Fiction ', 'Action & Aventure ', 'Animation ', 'Fantastique ', 'Mystère & Thriller ', 'Horreur ']]",['https://images.justwatch.com/poster/258546507/s718/demon-slayer-kimetsu-no-yaiba'],[' 8.7 (102k) ']
2,['2020'],[' Jujutsu Kaisen '],"[[' Junya Enoki ', ' Yuma Uchida ', ' Asami Seto ', ' Yuichi Nakamura ']]","[['Action & Aventure ', 'Science-Fiction ', 'Animation ', 'Fantastique ', 'Mystère & Thriller ']]",['https://images.justwatch.com/poster/245224692/s718/jujutsu-kaisen'],[' 8.6 (61k) ']
3,['2012'],[' Sword Art Online '],"[[' Ai Kayano ', ' Rina Hidaka ', ' Hiroaki Hirata ', ' Hiroki Yasumoto ', ' Kaori Maeda ', ' Isshin Chiba ', ' Taku Yashiro ', ' Yuko Kaida ', ' Junya Enoki ', ' Miyuki Sawashiro ', ' Kanae Ito ', ' Yoshitsugu Matsuoka ', ' Ayahi Takagaki ', ' Ayana Taketatsu ', ' Sanae Kobayashi ', ' Haruka Tomatsu ']]","[['Action & Aventure ', 'Animation ', 'Science-Fiction ', 'Drame ', 'Western ', 'Fantastique ', 'Comédie Romantique ', 'Mystère & Thriller ', 'Comédie ']]",['https://images.justwatch.com/poster/135069047/s718/sword-art-online'],[' 7.5 (46k) ']
4,['2014'],[' Haikyū!! '],"[[' Ayumu Murase ', ' Kaito Ishikawa ', ' Daisuke Namikawa ', ' Nobuhiko Okamoto ', ' Koki Uchiyama ', ' Miyu Irino ', ' Soma Saito ', ' Yoshimasa Hosoya ', ' Satoshi Hino ', ' Kaori Nazuka ', ' Hiroshi Kamiya ', ' Hisao Egawa ', ' Nobuyori Sagara ', ' Yuu Hayashi ', ' Toshiki Masuda ', ' Koutaro Nishiyama ', ' Sumire Morohoshi ']]","[['Animation ', 'Comédie ', 'Drame ', 'Sport & Fitness ']]",['https://images.justwatch.com/poster/173574304/s718/haikyu'],[' 8.7 (25k) ']
5,['2019'],[' The Promised Neverland '],"[[' Sumire Morohoshi ', ' Mariya Ise ', ' Lynn ', ' Shinei Ueki ', ' Erisa Kuon ', ' Mari Hino ', ' Yuko Mori ', ' Shizuka Ishigami ', ' Ai Kayano ', ' Nao Shiraki ', ' Koko Hayashi ', ' Yoshino Aoyama ', ' Hiyori Kouno ']]","[['Drame ', 'Animation ', 'Mystère & Thriller ', 'Science-Fiction ', 'Action & Aventure ', 'Fantastique ', 'Horreur ']]",['https://images.justwatch.com/poster/249882683/s718/the-promised-neverland'],[' 8.3 (38k) ']
6,['2017'],[' Made In Abyss '],[[]],"[['Drame ', 'Action & Aventure ', 'Science-Fiction ', 'Animation ', 'Fantastique ']]",['https://images.justwatch.com/poster/297797563/s718/made-in-abyss'],[' 8.4 (11k) ']
7,['2014'],[' Tokyo Ghoul '],"[[' Natsuki Hanae ', ' Sora Amamiya ', ' Shintaro Asanuma ', ' Takahiro Sakurai ', ' Sumire Morohoshi ', ' Yuuya Uchida ']]","[['Action & Aventure ', 'Animation ', 'Drame ', 'Mystère & Thriller ', 'Fantastique ', 'Horreur ']]",['https://images.justwatch.com/poster/176671138/s718/tokyo-ghoul'],[' 7.8 (54k) ']
8,['2019'],[' Fruits Basket '],"[[' Manaka Iwami ', ' Nobunaga Shimazaki ', ' Yuma Uchida ', ' Yuichi Nakamura ', ' Rie Kugimiya ', ' Megumi Han ', ' Makoto Furukawa ', ' Kazuyuki Okitsu ', ' Takahiro Sakurai ', ' Reina Ueda ', ' You Taichi ', ' Kengo Kawanishi ', ' Miyuki Sawashiro ', ' Aki Toyosaki ', ' Yuuichirou Umehara ', ' Maaya Sakamoto ', ' Toshiyuki Morikawa ', ' Atsumi Tanezaki ', ' Satomi Sato ', ' Takuya Eguchi ', ' Ai Kakuma ']]","[['Comédie ', 'Drame ', 'Animation ', 'Fantastique ', 'Comédie Romantique ']]",['https://images.justwatch.com/poster/246787478/s718/fruits-basket'],[' 8.6 (6k) ']
9,['2014'],[' Your Lie in April '],"[[' Saori Hayami ', ' Ai Kayano ', ' Risa Taneda ', ' Ayane Sakura ', ' Natsuki Hanae ', ' Ryota Osaka ', ' Yuki Kaji ']]","[['Animation ', 'Drame ', 'Musique & Comédie Musicale ', 'Comédie Romantique ', 'Comédie ']]",['https://images.justwatch.com/poster/244597901/s718/your-lie-in-april'],[' 8.5 (25k) ']
